,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Arkham Horror: King In Yellow,90,57.5,88.5,Chimera (Orange),1,,,,,,
Arkham Horror: King In Yellow,76,42,64,Mini Chimera (Red),1,,,,,,
Arkham Horror: Kingsport Horror,207,57.5,88.5,Chimera (Orange),3,,,,,,
Arkham Horror: Kingsport Horror,112,42,64,Mini Chimera (Red),2,,,,,,
Arkham Horror: Lurker at the Threshold,110,57.5,88.5,Chimera (Orange),2,,,,,,
Arkham Horror: Lurker at the Threshold,56,42,64,Mini Chimera (Red),1,,,,,,
Arkham Horror: Miskatonic Horror,336,57.5,88.5,Chimera (Orange),4,,,,,,
Arkham Horror: Miskatonic Horror,112,42,64,Mini Chimera (Red),2,,,,,,
Arkham Horror: The Card Game – Curse of the Rougarou – Scenario Pack (Standard cards),62,63,88,Card Game (Green),1,,,,,,
Arkham Horror: The Card Game – The Dunwich Legacy (Small),5,41,64,Mini USA (Yellow),1,,,,,,
Arkham Horror: The Card Game – The Dunwich Legacy (Standard cards),156,63,88,Card Game (Green),2,,,,,,
Arkham Horror: The Card Game (Small cards),5,41,63,Mini USA (Yellow),1,,,,,,
Arkham Horror: The Card Game (Standard),234,63,88,Card Game (Green),3,,,,,,
Arkham Horror: Total,1457,57.5,88.5,Chimera (Orange),15,,,,,,
Arkham Horror: Total,960,42,64,Mini Chimera (Red),10,,,,,,
Armorica,63,56,87,Standard USA (Purple),1,,,,,,
Around the World in 80 Days,75,45,68,Mini Euro Sleeves,1,,,,,,
Ars Alchimia,84,45,68,Mini Euro Sleeves,1,,,,,,
Ars Victor,48,63,82.5,Card Game (Green),1,,,,,,
Art of War: the card game ,60,63,88,Card Game (Green),1,,,,,,
"Artifacts, Inc.",72,58,89,Euro Size Card Sleeves,1,,,,,,
Artificium,108,56,87,Standard USA (Purple),2,,,,,,
Artscow Generic Decks,,63,88,Card Game (Green),0,,,,,,
Artus,88,59,92,Euro Size Card Sleeves,1,,,,,,
Asante,112,59,92,Euro Size Card Sleeves,2,,,,,,
Asara,45,45,68,Mini Euro Sleeves,1,,,,,,
Ascension,578,63,88,Card Game (Green),6,,,,,,
Ascension CCG by Pro Tour Champions,200,63.5,88,Card Game (Green),2,,,,,,
