,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Assault: 19XX (Standard cards),175,63,88,Card Game (Green),2,,,,,,
Assult on Doomrock Small cards,246,45,68,Mini Euro Sleeves,3,,,,,,
Assyria,54,45,68,Mini Euro Sleeves,1,,,,,,
Astra Titanus,20,41,63,Mini USA (Yellow),1,,,,,,
At the Gates of Loyang,120,57,89,Chimera (Orange),2,,,,,,
Atlantic Star,132,59,92,Euro Size Card Sleeves,2,,,,,,
Atlantic Storm,152,63.5,88,Card Game (Green),2,,,,,,
Atlantis,105,45,68,Mini Euro Sleeves,2,,,,,,
Atlantis Rising,110,56,87,Standard USA (Purple),2,,,,,,
Atlas And Zeus,50,44,68,Mini Euro Sleeves,1,,,,,,
Aton* (Unconfirmed),72,45,68,Mini Euro Sleeves,1,,,,,,
Atta Ants,24,??,??,?,1,,,,,,
Attack on Titan: Deck-Building Game (Larger cards),13,76,102,?,1,,,,,,
Attack on Titan: Deck-Building Game (Standard cards),188,63,88,Card Game (Green),2,,,,,,
Attack Sub,128,57.5,89,Chimera (Orange),2,,,,,,
Attack!,108,63.5,88,Card Game (Green),2,,,,,,
Attika,60,44,68,Mini Euro Sleeves,1,,,,,,
Attribut 2,168,?,?,?,2,,,,,,
Attribute,224,?,?,?,3,,,,,,
Attribute booster ,60,?,?,?,1,,,,,,
Auf Achse,90,59,92,Euro Size Card Sleeves,1,,,,,,
Auf Achse: Das Kartenspiel,110,58,89,Euro Size Card Sleeves,2,,,,,,
Auf Achse: Das Kartenspiel,110,59,92,Euro Size Card Sleeves,2,,,,,,
Augsburg 1520,90,45,68,Mini Euro Sleeves,1,,,,,,
Augustus,100,80,80,Medium Square - Red,1,,,,,,
Aura,208,63,88,Card Game (Green),3,,,,,,
Australia,42,45,68,Mini Euro Sleeves,1,,,,,,
Autokrator,54,56,87,Standard USA (Purple),1,,,,,,
Automania,30,63,88,Card Game (Green),1,,,,,,
Avalanche at Yeti Mountain,84,56,87,Standard USA (Purple),,,,,,,
Ave Caesar,144,45,80,?,2,,,,,,
Ave Roma ,120,45,68,Mini Euro Sleeves,2,,,,,,
Ave Roma : Kickstarter Promos,8,45,68,Mini Euro Sleeves,1,,,,,,
Ave Roma: CENSOR expansion,10,45,68,Mini Euro Sleeves,1,,,,,,
Ave Roma: CONSUL expansion,30,45,68,Mini Euro Sleeves,1,,,,,,
Avenue ,48,57,87.5,Chimera (Orange),1,,,,,,
Axis & Allies Air Force Miniatures: Bandits High,31,63,82.5,Card Game (Green),1,,,,,,
Axis & allies Air Force Miniatures: Bandits High,31,63.5,88,Card Game (Green),1,,,,,,
Axis & allies Air Force Miniatures: War at Sea,9,63.5,88,Card Game (Green),1,,,,,,
Axis & Allies Air Force Miniatures:Angels 20,31,63.5,88,Card Game (Green),1,,,,,,
"Aye, Dark Overlord",165,56,87,Standard USA (Purple),2,,,,,,
Azteca,55,56,87,Standard USA (Purple),1,,,,,,
AztláS,55,63.5,88,Card Game (Green),1,,,,,,
B-Sieged: Darkness & Fury (2016),132,45,68,Mini Euro Sleeves,2,,,,,,
B-Sieged: Sons of the Abyss,202,45,68,Mini Euro Sleeves,3,,,,,,
Babel,105,59,92,Euro Size Card Sleeves,2,,,,,,
BabyBlue,110,58,89,Chimera (Orange),2,,,,,,
Bacchanalia,80,63.5,88,Card Game (Green),1,,,,,,
Back to the Future Card Game,100,56,87,Standard USA (Purple),1,,,,,,
Backpacks and Blisters,53,47,63,?,1,,,,,,
Bad Beets,20,63,88,Card Game (Green),1,,,,,,
Bad Medicine,230,56,87,Standard USA (Purple),3,,,,,,
Badaboom,64,57.5,89,Chimera (Orange),1,,,,,,
Balloon Cup,50,60,92,Euro Size Card Sleeves,1,,,,,,
Banditos,249,63,88,Card Game (Green),3,,,,,,
Bang! 4th Ed.,110,56,87,Standard USA (Purple),2,,,,,,
Bang! Dodge City Exp.,66,56,87,Standard USA (Purple),1,,,,,,
Bang! Fist Full of Cards,15,56,87,Standard USA (Purple),1,,,,,,
Bang! High Noon,15,56,87,Standard USA (Purple),1,,,,,,
Bang! The Bullet,207,56,87,Standard USA (Purple),3,,,,,,
BANG! The Dice Game,30,63,82.5,Card Game (Green),1,,,,,,
BANG! The Duel ,109,56,87,Standard USA (Purple),2,,,,,,
Barbarossa,315,63.5,88,Card Game (Green),4,,,,,,
Barcelona: The Rose of Fire ,82,73.5,91,?,1,,,,,,
Bargain Hunter (2010),,63,88,Card Game (Green),0,,,,,,
Barons,206,63.5,88,Card Game (Green),3,,,,,,
Baseball Highlights: 2045,120,63.5,88,Card Game (Green),2,,,,,,
Baseball Highlights: 2045 - Deluxe Edition,180,63.5,88,Card Game (Green),2,,,,,,
Baseball Highlights: 2045 All Expansions,210,63.5,88,Card Game (Green),3,,,,,,
Batavia,110,45,68,Mini Euro Sleeves,2,,,,,,
Batman Arkham City Escape,126,63,82.5,Card Game (Green),2,,,,,,
Batman: Gotham City Stragegy Game,114,56,87,Standard USA (Purple),2,,,,,,
BATTALIA: The Creation,330,70,70,Small Square,4,,,,,,
Battle Beyond Space,48,63.5,88,Card Game (Green),1,,,,,,
Battle Cattle: The Card Game,110,56,87,Standard USA (Purple),2,,,,,,
Battle Cattle: The Card Game  (Large Cards),6,?,?,?,1,,,,,,
Battle Cattle: The Card Game  (Small Cards),110,56,87,Standard USA (Purple),2,,,,,,
Battle Cry: 150th Civil War Anniversary,60,57.5,89,Chimera (Orange),1,,,,,,
Battle For Hill 218,53,63,88,Card Game (Green),1,,,,,,
Battle For Souls,182,63.5,88,Card Game (Green),2,,,,,,
Battle Masters,65,57,88,Chimera (Orange),1,,,,,,
Battle Merchants,84,63,82.5,Card Game (Green),1,,,,,,
Battle of the Bands,105,63,88,Card Game (Green),2,,,,,,
Battle of the Bands: Backstage Pass,60,63,88,Card Game (Green),1,,,,,,
Battle of the Bands: Encore Edition,120,63,88,Card Game (Green),2,,,,,,
Battle Rider,96,n/a,n/a,?,1,,,,,,
BattleCON: Devastation of Indines,451,63.5,88,Card Game (Green),5,,,,,,
BattleCON: Fate of Indines,152,63,88,Card Game (Green),2,,,,,,
BattleCON: War of Indines,191,63.5,88,Card Game (Green),2,,,,,,
Battlecry,60,64,89,Card Game (Green),1,,,,,,
Battleground Alexander vs. Persia,200,63,88,Card Game (Green),2,,,,,,
Battleground Historical Warfare: Second Punic War 218-201 BC Basic Game,100,63,88,Card Game (Green),1,,,,,,
Battleground Historical Warfare: Second Punic War 218-201 BC Reinforcements,100,63,88,Card Game (Green),1,,,,,,
Battleground: Fantasy Warfare,,63,88,Card Game (Green),0,,,,,,
Battleground: Fantasy Warfare (one deck),100,63,82.5,Card Game (Green),1,,,,,,
Battleline,70,64,89,Card Game (Green),1,,,,,,
Battlelore Bearded Brave,27,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore Board Game,162,59,92,Euro Size Card Sleeves,2,,,,,,
Battlelore: All other Expansions,60,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore: Base Game + All Expansions:,1117,59,92,Euro Size Card Sleeves,12,,,,,,
Battlelore: Call To Arms,60,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore: Code of Chivalry,14,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore: Creatures,7,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore: Dragons,7,59,92,Euro Size Card Sleeves,1,,,,,,
Battlelore: Heroes,110,59,92,Euro Size Card Sleeves,2,,,,,,
Battlelore: Scottish Wars,12,59,92,Euro Size Card Sleeves,1,,,,,,
Battlemist,168,??,??,?,2,,,,,,
Battlemist ,168,56,87,Standard USA (Purple),2,,,,,,
Battlemists: The Stars of Timorran,168,45,98,?,2,,,,,,
Battles of Napoleon: The Eagle and the Lion (2010),120,56,87,Standard USA (Purple),2,,,,,,
Battles of the American Revolution - Savannah,55,63,88,Card Game (Green),1,,,,,,
Battles of the American Revolution -Pensacola,71,63,88,Card Game (Green),1,,,,,,
Battles of Westeros,110,57.5,89,Chimera (Orange),2,,,,,,
Battles of Westeros: All Expansions,244,57.5,89,Chimera (Orange),3,,,,,,
Battleship Galaxies: The Saturn Offensive Game Set,74,63,88,Card Game (Green),1,,,,,,
Battleship Galaxies: The Saturn Offensive Game Set,24,76,114,Magnum Gold,1,,,,,,
Battlestar Galactica,110,57.5,88.5,Chimera (Orange),2,,,,,,
Battlestar Galactica,128,43,65,Mini Chimera (Red),2,,,,,,
Battlestar Galactica - Daybreak Expansion,77,57.5,88.5,Chimera (Orange),1,,,,,,
Battlestar Galactica - Daybreak Expansion,52,43,65,Mini Chimera (Red),1,,,,,,
Battlestar Galactica - Exodus Expansion,110,57.5,88.5,Chimera (Orange),2,,,,,,
Battlestar Galactica - Exodus Expansion,28,43,65,Mini Chimera (Red),1,,,,,,
Battlestar Galactica - Pegasus Expansion,82,57.5,88.5,Chimera (Orange),1,,,,,,
Battlestar Galactica - Pegasus Expansion,64,43,65,Mini Chimera (Red),1,,,,,,
Battue: Storm of the Horse Lords,80,56,87,Standard USA (Purple),1,,,,,,
Bazaar Discovery toys edition (1987),49,57,87.5,Chimera (Orange),1,,,,,,
Bazaar Gryphon Games English Edition,2011,63,88,Card Game (Green),21,,,,,,
Bears Vs. Babies,107,63,88,Card Game (Green),,,,,,,
Bears Vs. Babies NSFW Expansion,30,63,88,Card Game (Green),,,,,,,
Beasty Bar,56,80,120,Magnum Gold,1,,,,,,
Beasty Bar: New Beasts in Town,52,80,120,Magnum Gold,1,,,,,,
Beep Beep,112,56,87,Standard USA (Purple),,,,,,,
Beer Money,110,63,88,Card Game (Green),2,,,,,,
Before the Wind,240,45,68,Mini Euro Sleeves,3,,,,,,
Before the Wind,46,59,92,Euro Size Card Sleeves,1,,,,,,
Behind the Throne,82,57,87.5,Chimera (Orange),1,,,,,,
Belfort,50,63,88,Card Game (Green),1,,,,,,
Bell-Bottomed Badassses on the Mean Streets of Funk,120,63.5,88,Card Game (Green),2,,,,,,
Belle of the Ball,108,63,88,Card Game (Green),2,,,,,,
Bellwether: The Card Game,40,56,87,Standard USA (Purple),1,,,,,,
Beowulf: The Legend,110,59,91,Euro Size Card Sleeves,2,,,,,,
Berserk: Tactical Card Game – War of Realms,245,63,88,Card Game (Green),3,,,,,,
Berserker Halflings from the Dungeon of Dragons,120,63.5,88,Card Game (Green),2,,,,,,
Beserk: Knights and Villains,60,63,82.5,Card Game (Green),1,,,,,,
Beserk: War of the Realms,243,63,82.5,Card Game (Green),3,,,,,,
Best Treehouse Ever,95,56,87,Standard USA (Purple),1,,,,,,
Betrayal at House on the Hill,80,57,107,"""Dwarf King"" French Tarot Sized",1,,,,,,
Between Two Cities,45,63,88,Card Game (Green),1,,,,,,
Beyond Baker Street ,80,58,89,Euro Size Card Sleeves,1,,,,,,
Bhazum,70,63.5,88,Card Game (Green),1,,,,,,
Bhazum: Ksari,83,63.5,88,Card Game (Green),1,,,,,,
Biblebattles,90,63,88,Card Game (Green),1,,,,,,
Biblios,89,63,88,Card Game (Green),1,,,,,,
Biblios Dice,46,45,68,Mini Euro Sleeves,1,,,,,,
Big Badaboom,92,57.5,89,Chimera (Orange),1,,,,,,
Big Book of Madness (Large Cards),25,88,125,SWN-048 (Swan PanAsia Sleeves),1,,,,,,
Big Book of Madness (Medium Cards),48,63.5,88,Card Game (Green),,,,,,,
Bog Book of Madness (Small Cards),171,43,65,Mini Euro Sleeves,2,,,,,,
Big Boss ,90,45,68,Mini Euro Sleeves,1,,,,,,
Big City,72,45,68,Mini Euro Sleeves,1,,,,,,
"Big Eyes, Small Mouth Anime Card Game",55,63,82.5,Card Game (Green),1,,,,,,
Big Manitou,90,56,87,Standard USA (Purple),1,,,,,,
Bigfoot ,52,63,88,card game (green),,,,,,,
"Bigfootses, The Card Game",150,63,82.5,Card Game (Green),2,,,,,,
Billionaire Banshee ,210,63,88,Card Game (Green),3,,,,,,
Billionaire Banshee: Australia Booster,20,63,88,Card Game (Green),1,,,,,,
Billionaire Banshee: Sexy Foil Pack,20,63,88,Card Game (Green),1,,,,,,
Bios: Genesis ,60,57,87.5,Chimera (Orange),1,,,,,,
Bios: Megafauna,108,56,87,Standard USA (Purple),2,,,,,,
BioShock Infinite: The Siege of Columbia,161,63,88,Card Game (Green),2,,,,,,
Birdie Fight! ,37,63,88,Card Game (Green),1,,,,,,
Birds of a Feather ,60,63,88,Card Game (Green),1,,,,,,
Black & White,55,80,120,Magnum Gold,1,,,,,,
Black Fleet,124,63,82.5,Card Game (Green),2,,,,,,
Black Gold,152,43,65,Mini Chimera (Red),2,,,,,,
Black Hat,90,63,88,Card Game (Green),1,,,,,,
Black Orchestra (Large cards),9,127,178,?,1,,,,,,
Black Orchestra (Standard cards),145,63,88,Card Game (Green),2,,,,,,
Black Sheep,112,43,65,Mini Chimera (Red),2,,,,,,
Black Spy,60,57.5,88.5,Chimera (Orange),1,,,,,,
Black Stories,50,88,125,Custom Tiny Epic Kingdoms,1,,,,,,
Black Vienna,63,65,100,Magnum Copper,1,,,,,,
Blackbeard,64,57,88,Chimera (Orange),1,,,,,,
Blackbeard (GMT),110,63,82.5,Card Game (Green),2,,,,,,
Blades of Legend,54,63,88,Card Game (Green),1,,,,,,
Blindes Huhn,66,58,89,Euro Size Card Sleeves,1,,,,,,
Blink,60,56,87,Standard USA (Purple),1,,,,,,
Blocky Mountains,60,80,120,Magnum Gold,1,,,,,,
Blocky Mountains: The Rock Slide,15,80,120,Magnum Gold,1,,,,,,
Blood Bound,32,70,120,Custom MDG-7100,1,,,,,,
Blood Bound,22,41,63,Mini USA (Yellow),1,,,,,,
Blood Bowl Upgrade Cards,58,42,64,Mini Chimera (Red),1,,,,,,
Blood Bowl: Team Manager The Card Game,168,57.5,88.5,Chimera (Orange),2,,,,,,
Blood Rage  (Large Cards),0,70,122,Custom MDG-7100 (Some are too narrow for these cards),0,,,,,,
Blood Rage  (Small Cards),102,41,63,Mini USA (Yellow),2,,,,,,
Blood Royale,63,??,??,?,1,,,,,,
Bloodborne: The Card Game (Large cards),5,80,120,Magnum Gold,1,,,,,,
Bloodborne: The Card Game (Standard),82,63,88,Card Game (Green),1,,,,,,
Bloodsuckers,137,63,88,Card Game (Green),2,,,,,,
Bloody Legacy,52,??,??,?,1,,,,,,
Blue Moon,62,70,120,Custom MDG-7100,1,,,,,,
Blue Moon + All Expansions,338,70,120,Custom MDG-7100,4,,,,,,
Blue Moon City,80,59,92,Euro Size Card Sleeves,1,,,,,,
Blue Moon Legends,344,57,88,Chimera (Orange),4,,,,,,
Blue vs. Gray,200,63,88,Card Game (Green),2,,,,,,
Blueprints,45,63,82.5,Card Game (Green),1,,,,,,
Bluff im zoo,108,?,?,?,2,,,,,,
BoardGameGeek: The Card Game,81,63,88,Card Game (Green),1,,,,,,
Bohnanza,161,56,89,Standard USA (Purple),2,,,,,,
Bohnanza -Fan Edition,110,57,89,Standard USA (Purple),2,,,,,,
Bohnanza -High Bean,120,57,89,Standard USA (Purple),2,,,,,,
Bohnanza: Ladies & Gangsters ,232,56,87,Standard USA (Purple),3,,,,,,
Bohnaparte,50,56,87,Chimera (Orange),1,,,,,,
Bomarzo,53,56,87,Standard USA (Purple),1,,,,,,
Bomb Squad,69,63,88,Card Game (Green),1,,,,,,
Bomb Squad Academy  (Large Cards),68,63,88,Card Game (Green),1,,,,,,
Bomb Squad Academy  (Small Cards),30,45,68,Mini Euro Sleeves,1,,,,,,
Bomber Command,110,63,82.5,Card Game (Green),2,,,,,,
Bonnie and Clyde,77,63,88,Card Game (Green),1,,,,,,
Boomerang (2010),54,59,92,Euro Size Card Sleeves,1,,,,,,
Boomtown,60,64,100,Magnum Copper,1,,,,,,
Boomtown Bandits,49,63,82.5,Card Game (Green),1,,,,,,
Bootleggers,168,63,88,Card Game (Green),2,,,,,,
Bora Bora,60,45,68,Mini Euro Sleeves,1,,,,,,
Borneo,65,??,??,?,1,,,,,,
Borneo ,108,56,87,Standard USA (Purple),2,,,,,,
Boss Monster 2: The next Level (Deluxe Edition),175,63,82.5,Card Game (Green),2,,,,,,
Boss Monster 2: The Next Level (Standard Edition),160,63,82.5,Card Game (Green),2,,,,,,
Boss Monster: The Dungeon Building Card Game,155,63.5,88,Card Game (Green),2,,,,,,
Botswana,30,63.5,88,Card Game (Green),1,,,,,,
Bottle Imp,42,57,89,Chimera (Orange),1,,,,,,
Bottom of the 9th  (Player Cards),21,63,88,Card Game (Green),1,,,,,,
Bottom of the 9th  (Manager Challenge Cards),15,56,87,Standard USA (Purple),1,,,,,,
Bottom of the 9th: Clubhouse (Equipment Cards),40,45,68,Mini Euro Sleeves,,,,,,,
Braggart,120,??,??,?,2,,,,,,
Braggart (second ed),132,57.5,88,Chimera (Orange),2,,,,,,
Brass (Fred Edition),66,57,89,Chimera (Orange),1,,,,,,
Brass (Pegasus Edition),66,59,84,Euro Size Card Sleeves,1,,,,,,
Brass Empire,280,63,88,Card Game (Green),3,,,,,,
Brass: Lancashire & Birmingham ,136,63,83,,,,,,,,
BraveRats,16,??,??,?,1,,,,,,
BraveRats,16,63,82.5,Card Game (Green),1,,,,,,
Brawl,,57.5,88.5,Chimera (Orange),0,,,,,,
Brawling Barons,60,63,88,Card Game (Green),1,,,,,,
Breakaway Rider,99,59,84,Euro Size Card Sleeves,1,,,,,,
Bremerhaven,240,45,68,Mini Euro Sleeves,3,,,,,,
Bretagne,54,59,92,Euro Size Card Sleeves,1,,,,,,
Brew Crafters,57,63,88,Card Game (Green),1,,,,,,
Brew Crafters: The Travel Card Game,54,63,82.5,Card Game (Green),1,,,,,,
Brick Party,165,58,89,Chimera (Orange),2,,,,,,
Bridge Cards (Narrower than Poker),52,56,88,Standard USA (Purple),1,,,,,,
"Brief History of the World, A",96,54,75,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Briefcase,156,45,68,Mini Euro Sleeves,2,,,,,,
Briefcase,160,59,84,Euro Size Card Sleeves,2,,,,,,
Bright Future  (Large Cards),49,80,120,Magnum Gold,1,,,,,,
Bright Future  (Small Cards),81,61,93,"Magnum Space Card Sleeve: 61 X 103 MM ""Space Alert"" & ""Dungeon Petz"" Sized",1,,,,,,
Bring Out Yer Dead,98,61,112,"""Dwarf King"" French Tarot Sized",1,,,,,,
Bring Your Own Book ,100,57,87.5,Chimera (Orange),1,,,,,,
Britannia,18,127,177,?,1,,,,,,
Broom Service German Edition,60,58,89,Euro Size Card Sleeves,1,,,,,,
Broom Service Ravensburger Spieleverlag English/french first edition,60,58,89,Euro Size Card Sleeves,1,,,,,,
Broom Service: The Card Game ,131,45,68,Mini Euro Sleeves,2,,,,,,
Bruges,174,56,87,Standard USA (Purple),2,,,,,,
Brutal Kingdom,26,70,110,Magnum Silver,1,,,,,,
Bruxelles 1893,63,45,68,Mini Euro Sleeves,1,,,,,,
Bsari: Das Kartenspiel,60,59,92,Euro Size Card Sleeves,1,,,,,,
Buccaneer,80,45,68,Mini Euro Sleeves,1,,,,,,
Bucket King,110,59,92,Euro Size Card Sleeves,2,,,,,,
Buffy the Vampire Slayer: The Game,84,53,73,?,1,,,,,,
Buffy the Vampire Slayer: The Game (US),84,53,73,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Bugs (2010),,63.5,88,Card Game (Green),0,,,,,,
Builders of Blankenburg  (Large Cards),41,63,88,Card Game (Green),1,,,,,,
Builders of Blankenburg  (Small Cards),57,43,65,Mini Chimera (Red),1,,,,,,
Builders: Middle Ages Square cards,42,88,88,?,1,,,,,,
Builders: Middle Ages Standard,42,63,82.5,Card Game (Green),1,,,,,,
Bullfrogs,49,63,82.5,Card Game (Green),1,,,,,,
Bump in the Night,52,?,?,?,1,,,,,,
Bunny Bunny Moose Moose,132,56,87,Standard USA (Purple),2,,,,,,
Burano,72,45,68,Mini Euro Sleeves,1,,,,,,
Burdigala,55,45,68,Mini Euro Sleeves,1,,,,,,
Bureaunauts ,314,45,68,Mini Euro Sleeves,4,,,,,,
Burger Boss,89,63,88,Card Game (Green),1,,,,,,
Burgle Bros.,118,63,63,Swan PanAsia Volle Wolle: Standard (SWN-031,2,,,,,,
Burke's Gambit ,29,63,88,Card Game (Green),1,,,,,,
Burn Rate,,65,90,Card Game (Green) -Long,0,,,,,,
Burning Suns,128,63,88,Card Game (Green),2,,,,,,
Bushido: Der Weg des Kriegers,5,?,?,?,1,,,,,,
Bushwhackin' Varmints out of Sergio's Butte,120,63.5,88,Card Game (Green),2,,,,,,
"But Wait, There's More! (company Cards)",5,63,82.5,Card Game (Green),1,,,,,,
"But Wait, There's More! Small Cards",260,41,63,Mini USA (Yellow),3,,,,,,
C.O.A.L: Combat-Oriented Armored League,90,63.5,88,Card Game (Green),1,,,,,,
Ca$h 'n Guns,69,56,87,Standard USA (Purple),1,,,,,,
Ca$h 'n Guns (second edition) Bullet cards,64,47,70,?,1,,,,,,
Ca$h 'n Guns (second edition) loot cards,64,60,120,?,1,,,,,,
Ca$h 'n Guns (second edition) power cards,16,63,82.5,Card Game (Green),1,,,,,,
Ca$h n' Gun$ (Cash and Guns),100,56,87,Standard USA (Purple),1,,,,,,
Cabo (Slugfest),52,63.5,88,Card Game (Green),1,,,,,,
Cadwallon: City of Thieves,20,63.5,88,Card Game (Green),1,,,,,,
Cadwallon: City of Thieves,75,43,65,Mini Chimera (Red),1,,,,,,
Caesar & Cleopatra,135,47,104,?,2,,,,,,
Café International: Das Kartenspiel,120,56,87,Standard USA (Purple),2,,,,,,
Cafe Melange,120,45,68,Mini Euro Sleeves,2,,,,,,
California Gold,126,63,88,Card Game (Green),2,,,,,,
California Gold: The Northern Counties Expansion,24,63,88,Card Game (Green),1,,,,,,
Caligula,110,57,89,Chimera (Orange),2,,,,,,
Call of Cthulhu CCG,,63,88,Card Game (Green),0,,,,,,
Call of Cthulhu LCG,50,63.5,88,Card Game (Green),1,,,,,,
Call of Cthulhu LCG -Asylum Pack,50,63.5,88,Card Game (Green),1,,,,,,
Call of Cthulhu LCG -Core Set,200,63.5,88,Card Game (Green),2,,,,,,
Call of Cthulhu: The Card Game,165,63.5,88,Card Game (Green),2,,,,,,
Call to Glory,112,63.5,88,Card Game (Green),2,,,,,,
Camel up,60,45,68,Mini Euro Sleeves,1,,,,,,
Camel Up Cards ,110,56,87,Standard USA (Purple),2,,,,,,
Camelot Legends,100,63,88,Card Game (Green),1,,,,,,
Camp Grizzly ( standard),125,63,82.5,Card Game (Green),2,,,,,,
Camp Grizzly (Large Card),24,63,82.5,Card Game (Green),1,,,,,,
Campaign Manager 2008,110,??,??,?,2,,,,,,
Campy Creatures,81,63.5,88,Card Game (Green),,,,,,,
Canal Mania,120,56,87,Standard USA (Purple),2,,,,,,
Canalis,82,??,??,?,1,,,,,,
Candamir: The First Settelers (Large Cards),60,58,89,Euro Size Card Sleeves,1,,,,,,
Candamir: The First Settelers (Small Cards),90,44,67,Mini Euro Sleeves,1,,,,,,
Cannibal Pygmies in the Jungle of Doom,120,63.5,88,Card Game (Green),2,,,,,,
Canyon,80,56,87,Standard USA (Purple),1,,,,,,
CapCom Street Fighter Deck-Building Game  (Large Cards),14,75,101,?,1,,,,,,
CapCom Street Fighter Deck-Building Game  (Small Cards),221,63,88,Card Game (Green),3,,,,,,
Capek,108,?,?,?,2,,,,,,
Capek,108,??,??,?,2,,,,,,
Capes & Cowls: The Superhero Board Game,32,87,112,Magnum Silver,1,,,,,,
Capes & Cowls: The Superhero Board Game,45,80,120,Magnum Gold,1,,,,,,
Capital Lux,80,58,89,Euro Size Card Sleeves,1,,,,,,
Capitol,66,45,68,Mini Euro Sleeves,1,,,,,,
Captain Carcass,87,63.5,88,Card Game (Green),1,,,,,,
Captain Clueless,20,??,??,?,1,,,,,,
Captain Future,66,?,?,?,1,,,,,,
Captain's Wager,144,63,88,Card Game (Green),2,,,,,,
Captain's Wager Maelstrom,49,63,88,Card Game (Green),1,,,,,,
Car Wars: The Card Game (Large Cards),6,102,178,?,1,,,,,,
Car Wars: The Card Game (Standard),110,56,87,Standard USA (Purple),2,,,,,,
Caravans of Asia,75,??,??,?,1,,,,,,
Caravelas,32,45,68,Mini Euro Sleeves,1,,,,,,
Caravelas,86,56,87,Standard USA (Purple),1,,,,,,
Card City,110,70,70,Small Square,2,,,,,,
Card Football: Premiere Edition,66,63,88,Card Game (Green),1,,,,,,
Card of the Dead,56,63,88,Card Game (Green),1,,,,,,
Cardcassonne,140,45,68,Mini Euro Sleeves,2,,,,,,
Cardcassonne,140,45,68,Mini Euro Sleeves,2,,,,,,
Cardline: Animals,110,56,87,Standard USA (Purple),2,,,,,,
Cards Against Humanity,550,63,88,Card Game (Green),6,,,,,,
Cargo Noir,54,66,99,Magnum Copper,1,,,,,,
Carnival,110,63,82.5,Card Game (Green),2,,,,,,
Carnival Zombie,60,59,91,Euro Size Card Sleeves,1,,,,,,
Carpe Astra ,105,56,87,Standard USA (Purple),2,,,,,,
Cartagena,103,45,68,Mini Euro Sleeves,2,,,,,,
Cartagena 2. The Pirate's Nest,105,45,68,Mini Euro Sleeves,2,,,,,,
Cartoona,70,51,89,?,1,,,,,,
Cartouche,144,63.5,88,Card Game (Green),2,,,,,,
Cast & Capture,108,63,88,Card Game (Green),2,,,,,,
Castaways,240,63.5,88,Card Game (Green),3,,,,,,
Castellan,28,63.5,88,Card Game (Green),1,,,,,,
Castelli (Large cards),10,70,110,Magnum Silver,1,,,,,,
Castelli (Standard cards),33,58,89,Euro Size Card Sleeves,1,,,,,,
Castellion,27,58,89,Chimera (Orange),1,,,,,,
Castle,56,80,80,Medium Square - Red,1,,,,,,
Castle Assault,257,63,88,Card Game (Green),3,,,,,,
Castle Dash,35,63.5,88,Card Game (Green),1,,,,,,
Castle Dice (Large Cards),89,63,82.5,Card Game (Green),1,,,,,,
Castle Dice (Small Cards),18,41,63,Mini USA (Yellow),1,,,,,,
Castle Dice: More Castles! (Large Cards),121,63,82.5,Card Game (Green),2,,,,,,
